Día,Edad,Físico (F),Técnico (T),Mental (M),Rating (R)
145.0,20.39726027397249,1.0,1.0,1.0,86.45224899154712
146.0,20.399999999999885,1.0,1.0,1.0,86.54256553905464
147.0,20.40273972602728,1.0,1.0,1.0,86.63207048772803
148.0,20.405479452054678,1.0,1.0,1.0,86.721389169088
149.0,20.408219178082074,1.0,1.0,1.0,86.81263411413867
150.0,20.41095890410947,1.0,1.0,1.0,86.903823280624
151.0,20.413698630136867,1.0,1.0,1.0,86.99322882067247
152.0,20.416438356164264,1.0,1.0,1.0,87.0838321384303
153.0,20.41917808219166,1.0,1.0,1.0,87.17408347915983
154.0,20.421917808219057,1.0,1.0,1.0,87.26469842533521
155.0,20.424657534246453,1.0,1.0,1.0,87.35544865167816
156.0,20.42739726027385,1.0,1.0,1.0,87.44418744272326
157.0,20.430136986301246,1.0,1.0,1.0,87.53419101632745
158.0,20.432876712328643,1.0,1.0,1.0,87.62462794837757
159.0,20.43561643835604,1.0,1.0,1.0,87.71475325060196
160.0,20.438356164383435,1.0,1.0,1.0,87.80419731056945
161.0,20.441095890410832,1.0,1.0,1.0,87.89305997625102
162.0,20.44383561643823,1.0,1.0,1.0,87.98212375500137
163.0,20.446575342465625,1.0,1.0,1.0,88.07208394162261
164.0,20.44931506849302,1.0,1.0,1.0,88.16250656600548
165.0,20.452054794520418,1.0,1.0,1.0,88.25140796436008
166.0,20.454794520547814,1.0,1.0,1.0,88.34033045082356
167.0,20.45753424657521,1.0,1.0,1.0,88.42975461859263
168.0,20.460273972602607,1.0,1.0,1.0,88.51832510611484
169.0,20.463013698630004,1.0,1.0,1.0,88.60862977830845
170.0,20.4657534246574,1.0,1.0,1.0,88.69837360261744
171.0,20.468493150684797,1.0,1.0,1.0,88.78908669404277
172.0,20.471232876712193,1.0,1.0,1.0,88.8798055134562
173.0,20.47397260273959,1.0,1.0,1.0,88.9711932866198
174.0,20.476712328766986,1.0,1.0,1.0,89.062348805101
175.0,20.479452054794383,1.0,1.0,1.0,89.15254913151732
176.0,20.48219178082178,1.0,1.0,1.0,89.24269220336194
177.0,20.484931506849176,1.0,1.0,1.0,89.33334083229177
178.0,20.487671232876572,1.0,1.0,1.0,89.4232537778024
179.0,20.49041095890397,1.0,1.0,1.0,89.51374470944691
180.0,20.493150684931365,1.0,1.0,1.0,89.60292853343309
181.0,20.49589041095876,1.0,1.0,1.0,89.69335830530892
182.0,20.498630136986158,1.0,1.0,1.0,89.78198365098004
183.0,20.501369863013554,1.0,1.0,1.0,89.87252235001847
184.0,20.50410958904095,1.0,1.0,1.0,89.96343451169555
185.0,20.506849315068347,1.0,1.0,1.0,90.05361684807274
186.0,20.509589041095744,1.0,1.0,1.0,90.14382075940186
187.0,20.51232876712314,1.0,1.0,1.0,90.2337681449803
188.0,20.515068493150537,1.0,1.0,1.0,90.32387522188854
189.0,20.517808219177933,1.0,1.0,1.0,90.41479954339891
190.0,20.52054794520533,1.0,1.0,1.0,90.50567218621401
191.0,20.523287671232726,1.0,1.0,1.0,90.59560686368364
192.0,20.526027397260123,1.0,1.0,1.0,90.68560934143753
193.0,20.52876712328752,1.0,1.0,1.0,90.77597371636146
194.0,20.531506849314916,1.0,1.0,1.0,90.86730233273992
195.0,20.534246575342312,1.0,1.0,1.0,90.95712139160207
196.0,20.53698630136971,1.0,1.0,1.0,91.04636477958188
197.0,20.539726027397105,1.0,1.0,1.0,91.13582830716096
198.0,20.5424657534245,1.0,1.0,1.0,91.22625813903714
199.0,20.545205479451898,1.0,1.0,1.0,91.31697584459721
200.0,20.547945205479294,1.0,1.0,1.0,91.4064019162001
201.0,20.55068493150669,1.0,1.0,1.0,91.49626817440347
202.0,20.553424657534087,1.0,1.0,1.0,91.58538333578824
203.0,20.556164383561484,1.0,1.0,1.0,91.67521319951415
204.0,20.55890410958888,1.0,1.0,1.0,91.76586398513963
205.0,20.561643835616277,1.0,1.0,1.0,91.85545569871503
206.0,20.564383561643673,1.0,1.0,1.0,91.94547491417532
207.0,20.56712328767107,1.0,1.0,1.0,92.03632736407796
208.0,20.569863013698466,1.0,1.0,1.0,92.12666832230533
209.0,20.572602739725863,1.0,1.0,1.0,92.2175557951784
210.0,20.57534246575326,1.0,1.0,1.0,92.30821532190413
211.0,20.578082191780656,1.0,1.0,1.0,92.39842050271292
212.0,20.580821917808052,1.0,1.0,1.0,92.48897447527861
213.0,20.58356164383545,1.0,1.0,1.0,92.5790646313024
214.0,20.586301369862845,1.0,1.0,1.0,92.6700605856843
215.0,20.58904109589024,1.0,1.0,1.0,92.76047615894494
216.0,20.591780821917638,1.0,1.0,1.0,92.85125670274755
217.0,20.594520547945034,1.0,1.0,1.0,92.94152810421855
218.0,20.59726027397243,1.0,1.0,1.0,93.03324475080917
219.0,20.599999999999827,1.0,1.0,1.0,93.12390950535517
220.0,20.602739726027224,1.0,1.0,1.0,93.21633178313104
221.0,20.60547945205462,1.0,1.0,1.0,93.30710219703577
222.0,20.608219178082017,1.0,1.0,1.0,93.39778555849591
223.0,20.610958904109413,1.0,1.0,1.0,93.4883216857523
224.0,20.61369863013681,1.0,1.0,1.0,93.57862889035597
225.0,20.616438356164206,1.0,1.0,1.0,93.66852356503779
226.0,20.619178082191603,1.0,1.0,1.0,93.7593172539739
227.0,20.621917808219,1.0,1.0,1.0,93.85104977544621
228.0,20.624657534246396,1.0,1.0,1.0,93.94046698129485
229.0,20.627397260273792,1.0,1.0,1.0,94.02990366656499
230.0,20.63013698630119,1.0,1.0,1.0,94.12024686408928
231.0,20.632876712328585,1.0,1.0,1.0,94.21060876290012
232.0,20.63561643835598,1.0,1.0,1.0,94.30317312062371
233.0,20.638356164383378,1.0,1.0,1.0,94.39460385743209
234.0,20.641095890410774,1.0,1.0,1.0,94.48548118178867
235.0,20.64383561643817,1.0,1.0,1.0,94.57665787674023
236.0,20.646575342465567,1.0,1.0,1.0,94.66759610476657
237.0,20.649315068492964,1.0,1.0,1.0,94.75820546869892
238.0,20.65205479452036,1.0,1.0,1.0,94.84879749721382
239.0,20.654794520547757,1.0,1.0,1.0,94.93977532709208
240.0,20.657534246575153,1.0,1.0,1.0,95.03057682083019
241.0,20.66027397260255,1.0,1.0,1.0,95.12107740273613
242.0,20.663013698629946,1.0,1.0,1.0,95.21288348820141
243.0,20.665753424657343,1.0,1.0,1.0,95.30415261289198
244.0,20.66849315068474,1.0,1.0,1.0,95.39490026283045
245.0,20.671232876712136,1.0,1.0,1.0,95.48516189860383
246.0,20.673972602739532,1.0,1.0,1.0,95.57697800546805
247.0,20.67671232876693,1.0,1.0,1.0,95.6669541647014
248.0,20.679452054794325,1.0,1.0,1.0,95.75834345553355
249.0,20.68219178082172,1.0,1.0,1.0,95.84925820363195
250.0,20.684931506849118,1.0,1.0,1.0,95.93892649011259
251.0,20.687671232876514,1.0,1.0,1.0,96.02977525774806
252.0,20.69041095890391,1.0,1.0,1.0,96.1216417744541
253.0,20.693150684931307,1.0,1.0,1.0,96.21201709103634
254.0,20.695890410958704,1.0,1.0,1.0,96.30289300067773
255.0,20.6986301369861,1.0,1.0,1.0,96.39343316352014
256.0,20.701369863013497,1.0,1.0,1.0,96.48428249175959
257.0,20.704109589040893,1.0,1.0,1.0,96.57552739328183
258.0,20.70684931506829,1.0,1.0,1.0,96.6665109467174
259.0,20.709589041095686,1.0,1.0,1.0,96.75704074130734
260.0,20.712328767123083,1.0,1.0,1.0,96.84865725336054
261.0,20.71506849315048,1.0,1.0,1.0,96.93867392205168
262.0,20.717808219177876,1.0,1.0,1.0,97.03005905557966
263.0,20.720547945205272,1.0,1.0,1.0,97.12150377006164
264.0,20.72328767123267,1.0,1.0,1.0,97.21226774347288
265.0,20.726027397260065,1.0,1.0,1.0,97.30385511858641
266.0,20.72876712328746,1.0,1.0,1.0,97.3950921749075
267.0,20.731506849314858,1.0,1.0,1.0,97.4868840169255
268.0,20.734246575342254,1.0,1.0,1.0,97.57755866978754
269.0,20.73698630136965,1.0,1.0,1.0,97.66878415069357
270.0,20.739726027397047,1.0,1.0,1.0,97.75928112011931
271.0,20.742465753424444,1.0,1.0,1.0,97.85151983439013
272.0,20.74520547945184,1.0,1.0,1.0,97.94241071127719
273.0,20.747945205479237,1.0,1.0,1.0,98.03482455107185
274.0,20.750684931506633,1.0,1.0,1.0,98.12624269358773
275.0,20.75342465753403,1.0,1.0,1.0,98.21891864661319
276.0,20.756164383561426,1.0,1.0,1.0,98.31117369124898
277.0,20.758904109588823,1.0,1.0,1.0,98.40160380713792
278.0,20.76164383561622,1.0,1.0,1.0,98.49346415286196
279.0,20.764383561643616,1.0,1.0,1.0,98.58446182960695
280.0,20.767123287671012,1.0,1.0,1.0,98.67648669741128
281.0,20.76986301369841,1.0,1.0,1.0,98.76822289519149
282.0,20.772602739725805,1.0,1.0,1.0,98.8605868189266
283.0,20.7753424657532,1.0,1.0,1.0,98.95195018891977
284.0,20.778082191780598,1.0,1.0,1.0,99.04328236086498
285.0,20.780821917807994,1.0,1.0,1.0,99.13460738395419
286.0,20.78356164383539,1.0,1.0,1.0,99.22541994130928
287.0,20.786301369862787,1.0,1.0,1.0,99.3171643061758
288.0,20.789041095890184,1.0,1.0,1.0,99.40781480683457
289.0,20.79178082191758,1.0,1.0,1.0,99.49969707081924
290.0,20.794520547944977,1.0,1.0,1.0,99.5913440901393
291.0,20.797260273972373,1.0,1.0,1.0,99.6841352753266
292.0,20.79999999999977,1.0,1.0,1.0,99.77679392998435
293.0,20.802739726027166,1.0,1.0,1.0,99.86837370322034
294.0,20.805479452054563,1.0,1.0,1.0,99.95948518776711
