Variable,Coeficiente
bias,68.6236751133287
reactions,4.3148942473496525
ball_control,2.917711342786779
strength,1.2296243249314003
long_passing,0.7491185771751189
acceleration,0.3529859835797453
sprint_speed,0.2605852771783537
vision,0.09905373435003448
finishing,0.08795634353522412
shot_power,0.007672550467833206
agility,-0.002516370180832984
balance,-0.10492594313330554
short_passing,-0.4058245676631418
positioning,-0.5146429332815595
stamina,-0.6354262229353879
dribbling,-1.452304509533962
