learning_rate,epochs,RMSE,MAE,R2
0.001,500,25.600727169297535,25.22130109186579,-12.673564737498976
0.001,1000,10.133880377434833,9.317209436426358,-1.1423777355732494
0.001,2000,4.173383497998146,3.1713289139923377,0.6366619984177921
0.01,500,3.9460925663410107,2.978039115289374,0.67513744274426
0.01,1000,3.932173818527173,2.9664998399160463,0.6774277584234017
0.01,2000,3.9278890507243935,2.9633463402661175,0.6781482414975379
0.05,500,3.927629655212177,2.963155404014297,0.6781788968632748
0.05,1000,3.9277905551886945,2.9633118297476875,0.6781543791690512
0.05,2000,3.9275784398842433,2.9630956635591112,0.6781896633699469
