Día,Edad,Físico (F),Técnico (T),Mental (M),Rating (R)
106.0,18.290410958904026,1.0,1.0,1.0,80.11144760291813
107.0,18.293150684931422,1.0,1.0,1.0,80.1777550362068
108.0,18.29589041095882,1.0,1.0,1.0,80.24376591613591
109.0,18.298630136986215,1.0,1.0,1.0,80.31015250845101
110.0,18.301369863013612,1.0,1.0,1.0,80.3780151819541
111.0,18.30410958904101,1.0,1.0,1.0,80.44387991860255
112.0,18.306849315068405,1.0,1.0,1.0,80.51056305687852
113.0,18.3095890410958,1.0,1.0,1.0,80.57708419415444
114.0,18.312328767123198,1.0,1.0,1.0,80.6430903539472
115.0,18.315068493150594,1.0,1.0,1.0,80.70943551846925
116.0,18.31780821917799,1.0,1.0,1.0,80.77416203687245
117.0,18.320547945205387,1.0,1.0,1.0,80.8405139447526
118.0,18.323287671232784,1.0,1.0,1.0,80.90564387903925
119.0,18.32602739726018,1.0,1.0,1.0,80.97228370539092
120.0,18.328767123287577,1.0,1.0,1.0,81.03809924349116
121.0,18.331506849314973,1.0,1.0,1.0,81.10434942216742
122.0,18.33424657534237,1.0,1.0,1.0,81.1700522553513
123.0,18.336986301369766,1.0,1.0,1.0,81.23518447705084
124.0,18.339726027397163,1.0,1.0,1.0,81.30139920717835
125.0,18.34246575342456,1.0,1.0,1.0,81.3680180567545
126.0,18.345205479451955,1.0,1.0,1.0,81.43464420197208
127.0,18.347945205479352,1.0,1.0,1.0,81.50197367615955
128.0,18.35068493150675,1.0,1.0,1.0,81.5677446785145
129.0,18.353424657534145,1.0,1.0,1.0,81.63272630389773
130.0,18.35616438356154,1.0,1.0,1.0,81.70102640468106
131.0,18.358904109588938,1.0,1.0,1.0,81.76788474592813
132.0,18.361643835616334,1.0,1.0,1.0,81.8344040454134
133.0,18.36438356164373,1.0,1.0,1.0,81.90080675155514
134.0,18.367123287671127,1.0,1.0,1.0,81.96676007502884
135.0,18.369863013698524,1.0,1.0,1.0,82.0323367789589
136.0,18.37260273972592,1.0,1.0,1.0,82.09826438887072
137.0,18.375342465753317,1.0,1.0,1.0,82.16407025838546
138.0,18.378082191780713,1.0,1.0,1.0,82.23021396564454
139.0,18.38082191780811,1.0,1.0,1.0,82.29663165078516
140.0,18.383561643835506,1.0,1.0,1.0,82.36289605440288
141.0,18.386301369862903,1.0,1.0,1.0,82.42884684094754
142.0,18.3890410958903,1.0,1.0,1.0,82.49516431348904
143.0,18.391780821917695,1.0,1.0,1.0,82.56253312250273
144.0,18.394520547945092,1.0,1.0,1.0,82.6276772978535
145.0,18.39726027397249,1.0,1.0,1.0,82.69339101210007
146.0,18.399999999999885,1.0,1.0,1.0,82.759024287696
147.0,18.40273972602728,1.0,1.0,1.0,82.82580545529946
148.0,18.405479452054678,1.0,1.0,1.0,82.89299654705387
149.0,18.408219178082074,1.0,1.0,1.0,82.959456404941
150.0,18.41095890410947,1.0,1.0,1.0,83.0249340817475
151.0,18.413698630136867,1.0,1.0,1.0,83.09197704611161
152.0,18.416438356164264,1.0,1.0,1.0,83.15832230395745
153.0,18.41917808219166,1.0,1.0,1.0,83.22554730787382
154.0,18.421917808219057,1.0,1.0,1.0,83.29180800661156
155.0,18.424657534246453,1.0,1.0,1.0,83.35730698922296
156.0,18.42739726027385,1.0,1.0,1.0,83.42341603437268
157.0,18.430136986301246,1.0,1.0,1.0,83.4906325319293
158.0,18.432876712328643,1.0,1.0,1.0,83.5570965072225
159.0,18.43561643835604,1.0,1.0,1.0,83.6233435598945
160.0,18.438356164383435,1.0,1.0,1.0,83.68974836725278
161.0,18.441095890410832,1.0,1.0,1.0,83.7561893266903
162.0,18.44383561643823,1.0,1.0,1.0,83.82300170288573
163.0,18.446575342465625,1.0,1.0,1.0,83.88887158508712
164.0,18.44931506849302,1.0,1.0,1.0,83.95542544308566
165.0,18.452054794520418,1.0,1.0,1.0,84.02165626795555
